Korpus;Frequency;Presentase Kemunculan;
dikirimkan;782;0,001795833;
mengontrol;781;0,001793537;
voli;781;0,001793537;
ne;781;0,001793537;
dallas;781;0,001793537;
kenyataannya;781;0,001793537;
luasnya;781;0,001793537;
nunukan;781;0,001793537;
payung;781;0,001793537;
based;780;0,00179124;
flandria;780;0,00179124;
manapun;780;0,00179124;
akun;779;0,001788944;
vertikal;779;0,001788944;
qatar;779;0,001788944;
irigasi;779;0,001788944;
masukan;779;0,001788944;
amino;779;0,001788944;
musyawarah;778;0,001786648;
syah;778;0,001786648;
wwe;778;0,001786648;
diplomatik;778;0,001786648;
kejayaan;778;0,001786648;
cook;778;0,001786648;
wimbledon;777;0,001784351;
birmingham;777;0,001784351;
hyundai;777;0,001784351;
italy;777;0,001784351;
hunter;777;0,001784351;
plasma;776;0,001782055;
tree;776;0,001782055;
board;776;0,001782055;
diselamatkan;776;0,001782055;
dennis;775;0,001779758;
dominika;775;0,001779758;
pornografi;774;0,001777462;
make;774;0,001777462;
reproduksi;774;0,001777462;
lahirnya;774;0,001777462;
delegasi;774;0,001777462;
hikayat;773;0,001775165;
ageng;773;0,001775165;
winter;773;0,001775165;
linda;773;0,001775165;
penentuan;773;0,001775165;
army;772;0,001772869;
mendefinisikan;772;0,001772869;
ginjal;772;0,001772869;
rudolf;772;0,001772869;
emosi;772;0,001772869;
macan;772;0,001772869;
coast;771;0,001770572;
sejahtera;771;0,001770572;
sparta;771;0,001770572;
usianya;771;0,001770572;
andré;771;0,001770572;
volkswagen;771;0,001770572;
kecilnya;771;0,001770572;
sepupu;771;0,001770572;
bp;771;0,001770572;
their;771;0,001770572;
memory;770;0,001768276;
pmr;770;0,001768276;
huang;770;0,001768276;
gowa;770;0,001768276;
efisiensi;769;0,001765979;
usai;769;0,001765979;
alliance;769;0,001765979;
ungkapan;769;0,001765979;
serie;769;0,001765979;
karate;769;0,001765979;
mengisahkan;768;0,001763683;
impor;768;0,001763683;
nature;768;0,001763683;
cia;768;0,001763683;
suaranya;767;0,001761386;
penasehat;767;0,001761386;
gamelan;767;0,001761386;
nasihat;767;0,001761386;
perselisihan;767;0,001761386;
deep;767;0,001761386;
palace;767;0,001761386;
ikon;767;0,001761386;
lipat;767;0,001761386;
mempengaruhi;767;0,001761386;
ske48;767;0,001761386;
rekreasi;767;0,001761386;
taufan;767;0,001761386;
touch;766;0,00175909;
salomo;766;0,00175909;
bahu;766;0,00175909;
helen;766;0,00175909;
diukur;766;0,00175909;
kehancuran;766;0,00175909;
nyaris;766;0,00175909;
alfabet;766;0,00175909;
migrasi;765;0,001756794;
fajar;765;0,001756794;
murray;765;0,001756794;
baker;765;0,001756794;
germain;765;0,001756794;
view;765;0,001756794;
philippe;765;0,001756794;
dipertahankan;765;0,001756794;
fungsional;765;0,001756794;
sandiwara;765;0,001756794;
glenn;764;0,001754497;
harrison;764;0,001754497;
building;764;0,001754497;
pelopor;764;0,001754497;
andalan;764;0,001754497;
disc;763;0,001752201;
tarif;763;0,001752201;
emmy;763;0,001752201;
metabolisme;763;0,001752201;
bedagai;763;0,001752201;
dimuat;763;0,001752201;
toba;762;0,001749904;
mekanik;762;0,001749904;
vektor;762;0,001749904;
wati;762;0,001749904;
utang;762;0,001749904;
puas;761;0,001747608;
dihormati;761;0,001747608;
dikerjakan;761;0,001747608;
hidayat;761;0,001747608;
athletic;761;0,001747608;
mekanika;760;0,001745311;
adventure;760;0,001745311;
position;760;0,001745311;
areal;760;0,001745311;
diraih;760;0,001745311;
yorkshire;760;0,001745311;
core;760;0,001745311;
mengakses;759;0,001743015;
decepticons;759;0,001743015;
yosua;758;0,001740718;
antarktika;758;0,001740718;
islands;758;0,001740718;
osis;758;0,001740718;
haiti;758;0,001740718;
karno;758;0,001740718;
ekuador;758;0,001740718;
mainan;757;0,001738422;
salim;757;0,001738422;
kutipan;757;0,001738422;
cermin;757;0,001738422;
lidah;756;0,001736125;
morowali;756;0,001736125;
jaminan;756;0,001736125;
selamanya;756;0,001736125;
yahoo;756;0,001736125;
rating;756;0,001736125;
kehendak;756;0,001736125;
freedom;756;0,001736125;
police;755;0,001733829;
diduduki;755;0,001733829;
pembaruan;755;0,001733829;
paksa;755;0,001733829;
das;755;0,001733829;
berisikan;755;0,001733829;
arwah;755;0,001733829;
menghapus;755;0,001733829;
panembahan;754;0,001731532;
pencapaian;754;0,001731532;
popularitas;754;0,001731532;
atlantic;754;0,001731532;
russia;754;0,001731532;
ajaib;754;0,001731532;
akting;754;0,001731532;
sebelas;753;0,001729236;
cilik;753;0,001729236;
rudy;753;0,001729236;
terorisme;753;0,001729236;
buddhisme;752;0,00172694;
ida;752;0,00172694;
arifin;752;0,00172694;
olympic;752;0,00172694;
hugh;752;0,00172694;
rekayasa;752;0,00172694;
kelainan;752;0,00172694;
kuburan;752;0,00172694;
sui;752;0,00172694;
bertahap;751;0,001724643;
kekacauan;751;0,001724643;
penggunaannya;751;0,001724643;
through;751;0,001724643;
sachsen;751;0,001724643;
shu;751;0,001724643;
dikendalikan;751;0,001724643;
phil;751;0,001724643;
choi;751;0,001724643;
elektrik;751;0,001724643;
alberta;750;0,001722347;
meningkatnya;750;0,001722347;
essonne;750;0,001722347;
turner;750;0,001722347;
tegak;750;0,001722347;
antarmuka;750;0,001722347;
nganjuk;750;0,001722347;
jon;750;0,001722347;
hassan;750;0,001722347;
ekologi;750;0,001722347;
money;750;0,001722347;
dimekarkan;749;0,00172005;
marino;749;0,00172005;
susan;749;0,00172005;
sex;749;0,00172005;
nissan;749;0,00172005;
susilo;749;0,00172005;
lennon;749;0,00172005;
bertepatan;749;0,00172005;
cagar;749;0,00172005;
menyerap;748;0,001717754;
navigasi;748;0,001717754;
kejuruan;748;0,001717754;
saran;748;0,001717754;
randy;748;0,001717754;
diamond;747;0,001715457;
evaluasi;747;0,001715457;
kadipaten;747;0,001715457;
today;746;0,001713161;
auto;746;0,001713161;
demam;746;0,001713161;
asahan;746;0,001713161;
ambil;746;0,001713161;
nintendo;746;0,001713161;
amanda;746;0,001713161;
mematikan;746;0,001713161;
before;746;0,001713161;
dinominasikan;745;0,001710864;
binti;745;0,001710864;
ftv;745;0,001710864;
orangtuanya;745;0,001710864;
krim;744;0,001708568;
kakao;744;0,001708568;
darwin;744;0,001708568;
khawatir;744;0,001708568;
ensiklopedia;744;0,001708568;
peace;744;0,001708568;
burma;744;0,001708568;
kakinya;743;0,001706271;
team01;743;0,001706271;
istanbul;743;0,001706271;
jpeg;743;0,001706271;
isteri;743;0,001706271;
dutch;743;0,001706271;
mother;743;0,001706271;
flying;742;0,001703975;
terinspirasi;742;0,001703975;
olivia;742;0,001703975;
lahat;742;0,001703975;
farmasi;742;0,001703975;
keturunannya;742;0,001703975;
nampak;742;0,001703975;
selasa;742;0,001703975;
majoris;742;0,001703975;
yasushi;741;0,001701678;
leon;741;0,001701678;
caesar;741;0,001701678;
seed01;741;0,001701678;
hee;741;0,001701678;
fei;740;0,001699382;
pengumuman;740;0,001699382;
kolaborasi;740;0,001699382;
dibubarkan;740;0,001699382;
paraguay;739;0,001697086;
stie;739;0,001697086;
kenangan;739;0,001697086;
madison;739;0,001697086;
ludwig;739;0,001697086;
penampilannya;739;0,001697086;
debu;739;0,001697086;
conan;739;0,001697086;
lp;738;0,001694789;
aircraft;738;0,001694789;
georges;738;0,001694789;
taksi;738;0,001694789;
nitrogen;738;0,001694789;
menonton;738;0,001694789;
kent;738;0,001694789;
dollar;737;0,001692493;
mewarisi;737;0,001692493;
penjuru;737;0,001692493;
berfokus;737;0,001692493;
wood;737;0,001692493;
neraka;737;0,001692493;
michelle;737;0,001692493;
kristiani;737;0,001692493;
d3;737;0,001692493;
pm;736;0,001690196;
pegulat;736;0,001690196;
panel;736;0,001690196;
alt;736;0,001690196;
rai;736;0,001690196;
teuku;736;0,001690196;
dwi;736;0,001690196;
hearts;736;0,001690196;
learning;736;0,001690196;
gsm;736;0,001690196;
health;736;0,001690196;
anton;736;0,001690196;
bayangan;735;0,0016879;
siswi;735;0,0016879;
dsb;735;0,0016879;
cabai;735;0,0016879;
zhao;735;0,0016879;
menurutnya;734;0,001685603;
rabu;734;0,001685603;
samosir;734;0,001685603;
adolf;734;0,001685603;
menyambut;734;0,001685603;
kuna;734;0,001685603;
derek;734;0,001685603;
atlanta;733;0,001683307;
strip;733;0,001683307;
spektrum;733;0,001683307;
mg;733;0,001683307;
neo;733;0,001683307;
topografi;733;0,001683307;
lembaran;733;0,001683307;
lilin;733;0,001683307;
diteruskan;733;0,001683307;
button;733;0,001683307;
dicampur;733;0,001683307;
obama;732;0,00168101;
puskesmas;732;0,00168101;
pemanfaatan;732;0,00168101;
mts;732;0,00168101;
ramayana;732;0,00168101;
tanam;732;0,00168101;
orchestra;732;0,00168101;
hart;732;0,00168101;
perusak;732;0,00168101;
yuki;731;0,001678714;
devil;731;0,001678714;
paradise;731;0,001678714;
rahmat;731;0,001678714;
mount;731;0,001678714;
score09;731;0,001678714;
rob;730;0,001676417;
rap;730;0,001676417;
ricky;730;0,001676417;
suriname;730;0,001676417;
berapa;730;0,001676417;
irish;730;0,001676417;
pol;730;0,001676417;
productions;730;0,001676417;
senator;730;0,001676417;
mengandalkan;730;0,001676417;
hiv;730;0,001676417;
sejalan;730;0,001676417;
setingkat;729;0,001674121;
sandra;729;0,001674121;
petang;729;0,001674121;
dikumpulkan;728;0,001671824;
pengangkatan;728;0,001671824;
revolusioner;728;0,001671824;
residen;728;0,001671824;
penanganan;728;0,001671824;
tanduk;727;0,001669528;
dihapus;727;0,001669528;
3rd;727;0,001669528;
kutukan;727;0,001669528;
claude;727;0,001669528;
ernst;726;0,001667232;
reaktor;726;0,001667232;
thriller;726;0,001667232;
antena;726;0,001667232;
telkom;726;0,001667232;
diadopsi;725;0,001664935;
sirip;725;0,001664935;
encyclopedia;725;0,001664935;
tiri;725;0,001664935;
arnold;725;0,001664935;
persemakmuran;725;0,001664935;
santos;725;0,001664935;
tokusatsu;725;0,001664935;
percakapan;725;0,001664935;
diwakili;724;0,001662639;
change;724;0,001662639;
dasawarsa;724;0,001662639;
broadway;724;0,001662639;
alien;724;0,001662639;
nm;723;0,001660342;
ditembak;723;0,001660342;
manufaktur;723;0,001660342;
konsisten;723;0,001660342;
menyimpulkan;723;0,001660342;
aston;723;0,001660342;
epsilon;722;0,001658046;
menyentuh;722;0,001658046;
wahid;722;0,001658046;
siam;722;0,001658046;
transport;722;0,001658046;
edge;722;0,001658046;
telaga;721;0,001655749;
source;721;0,001655749;
pemainnya;721;0,001655749;
user;721;0,001655749;
dawn;720;0,001653453;
crystal;720;0,001653453;
bah;720;0,001653453;
lyon;720;0,001653453;
greatest;720;0,001653453;
larut;720;0,001653453;
duke;720;0,001653453;
kelahirannya;720;0,001653453;
cetakan;719;0,001651156;
kesan;719;0,001651156;
s2;719;0,001651156;
asas;719;0,001651156;
direbut;719;0,001651156;
mengira;719;0,001651156;
sesaat;719;0,001651156;
monako;719;0,001651156;
gramedia;719;0,001651156;
terpanjang;719;0,001651156;
mengurus;718;0,00164886;
rusa;718;0,00164886;
newcastle;718;0,00164886;
pemujaan;718;0,00164886;
aram;718;0,00164886;
pssi;718;0,00164886;
kasino;718;0,00164886;
oklahoma;718;0,00164886;
alberto;717;0,001646563;
nasionalis;717;0,001646563;
base;717;0,001646563;
northern;717;0,001646563;
barunya;717;0,001646563;
menyamar;717;0,001646563;
kanaan;717;0,001646563;
bersembunyi;717;0,001646563;
theater;717;0,001646563;
ratna;717;0,001646563;
politis;717;0,001646563;
bergaya;717;0,001646563;
kelaparan;716;0,001644267;
benny;716;0,001644267;
ekspres;716;0,001644267;
praktek;716;0,001644267;
without;716;0,001644267;
torpedo;716;0,001644267;
val;716;0,001644267;
munich;716;0,001644267;
mind;716;0,001644267;
fall;716;0,001644267;
jesus;715;0,00164197;
masoret;715;0,00164197;
bayu;715;0,00164197;
kuantum;715;0,00164197;
mengamati;715;0,00164197;
tcp;715;0,00164197;
almarhum;715;0,00164197;
sandi;715;0,00164197;
seluler;715;0,00164197;
peti;715;0,00164197;
ramah;715;0,00164197;
felipe;714;0,001639674;
julie;714;0,001639674;
bernomor;714;0,001639674;
kental;714;0,001639674;
capital;714;0,001639674;
prusia;714;0,001639674;
menyerbu;714;0,001639674;
robinson;714;0,001639674;
hope;713;0,001637378;
nagan;713;0,001637378;
manggarai;713;0,001637378;
mendeteksi;712;0,001635081;
magnet;712;0,001635081;
chu;712;0,001635081;
ram;712;0,001635081;
evans;712;0,001635081;
dikisahkan;712;0,001635081;
membersihkan;712;0,001635081;
rindu;712;0,001635081;
komoditas;711;0,001632785;
pentas;711;0,001632785;
runtuh;711;0,001632785;
gara;711;0,001632785;
graham;711;0,001632785;
belarus;711;0,001632785;
hilangnya;711;0,001632785;
lim;711;0,001632785;
botol;711;0,001632785;
ernest;711;0,001632785;
layaknya;711;0,001632785;
belanja;710;0,001630488;
bung;710;0,001630488;
dipahami;710;0,001630488;
kartini;710;0,001630488;
reza;709;0,001628192;
baginya;709;0,001628192;
berenang;709;0,001628192;
pascasarjana;709;0,001628192;
release;709;0,001628192;
statusnya;709;0,001628192;
pernikahannya;709;0,001628192;
kecenderungan;708;0,001625895;
third;708;0,001625895;
nancy;708;0,001625895;
carlo;708;0,001625895;
sakramen;708;0,001625895;
ghost;708;0,001625895;
kbs;708;0,001625895;
lampau;708;0,001625895;
konsol;708;0,001625895;
disahkan;708;0,001625895;
menggunakannya;708;0,001625895;
sumbu;708;0,001625895;
jakartatelefon;707;0,001623599;
minimum;707;0,001623599;
military;707;0,001623599;
sanggup;707;0,001623599;
bukannya;707;0,001623599;
kei;707;0,001623599;
keponakan;707;0,001623599;
hara;707;0,001623599;
banyuasin;706;0,001621302;
tabanan;706;0,001621302;
ricardo;706;0,001621302;
tafsir;706;0,001621302;
uhf;706;0,001621302;
perbukitan;706;0,001621302;
terhitung;706;0,001621302;
sasuke;706;0,001621302;
sejarahnya;705;0,001619006;
lutheran;705;0,001619006;
keith;705;0,001619006;
deputi;705;0,001619006;
low;705;0,001619006;
mendesak;705;0,001619006;
suit;704;0,001616709;
diluar;704;0,001616709;
kentang;704;0,001616709;
300px;704;0,001616709;
diiringi;704;0,001616709;
er;704;0,001616709;
tapin;704;0,001616709;
suster;704;0,001616709;
argumen;704;0,001616709;
deddy;703;0,001614413;
personil;703;0,001614413;
tersembunyi;703;0,001614413;
petersburg;703;0,001614413;
somalia;703;0,001614413;
lingkar;703;0,001614413;
tulisannya;703;0,001614413;
buton;702;0,001612116;
stockholm;702;0,001612116;
yahya;702;0,001612116;
bukittinggi;702;0,001612116;
campbell;702;0,001612116;
had;702;0,001612116;
dilakukannya;702;0,001612116;
aa;701;0,00160982;
nasa;701;0,00160982;
untung;701;0,00160982;
tertangkap;701;0,00160982;
perlombaan;701;0,00160982;
melengkapi;701;0,00160982;
guatemala;701;0,00160982;
forever;701;0,00160982;
spesialis;700;0,001607524;
instansi;700;0,001607524;
syeikh;700;0,001607524;
terry;700;0,001607524;
tbs;700;0,001607524;
perkampungan;700;0,001607524;
anom;700;0,001607524;
penyedia;700;0,001607524;
pencak;700;0,001607524;
small;700;0,001607524;
senantiasa;700;0,001607524;
thompson;699;0,001605227;
pengeboman;699;0,001605227;
adventures;699;0,001605227;
ahmed;699;0,001605227;
dukun;699;0,001605227;
petinju;699;0,001605227;
berbunyi;699;0,001605227;
teroris;699;0,001605227;
bulanan;699;0,001605227;
pendidikannya;699;0,001605227;
rincian;699;0,001605227;
menaruh;698;0,001602931;
berau;697;0,001600634;
ve;697;0,001600634;
terkejut;697;0,001600634;
acak;697;0,001600634;
wayne;697;0,001600634;
rasanya;697;0,001600634;
cerah;697;0,001600634;
saka;696;0,001598338;
bertajuk;696;0,001598338;
programming;696;0,001598338;
neil;696;0,001598338;
common;696;0,001598338;
bantu;695;0,001596041;
dinamis;695;0,001596041;
berlari;695;0,001596041;
berkeley;695;0,001596041;
supermarket;694;0,001593745;
moutong;694;0,001593745;
benih;694;0,001593745;
borobudur;694;0,001593745;
sampel;694;0,001593745;
alpen;694;0,001593745;
kuantan;694;0,001593745;
ajax;694;0,001593745;
krl;694;0,001593745;
irian;693;0,001591448;
moscow;693;0,001591448;
squidward;693;0,001591448;
orkestra;693;0,001591448;
piagam;693;0,001591448;
ketetapan;693;0,001591448;
teleskop;693;0,001591448;
kebon;693;0,001591448;
rejang;692;0,001589152;
astro;692;0,001589152;
gita;692;0,001589152;
seng;692;0,001589152;
present;692;0,001589152;
some;692;0,001589152;
solomon;692;0,001589152;
pena;692;0,001589152;
bas;692;0,001589152;
kakeknya;691;0,001586855;
lestari;691;0,001586855;
transformasi;691;0,001586855;
agregat;691;0,001586855;
terusan;691;0,001586855;
sajak;691;0,001586855;
pariaman;691;0,001586855;
wi;691;0,001586855;
tai;691;0,001586855;
queensland;691;0,001586855;
kep;691;0,001586855;
paten;691;0,001586855;
tersingkir;691;0,001586855;
jamaika;691;0,001586855;
perdananya;690;0,001584559;
jackie;690;0,001584559;
dimulainya;690;0,001584559;
ukiran;690;0,001584559;
wo;690;0,001584559;
wewenang;690;0,001584559;
kebaikan;690;0,001584559;
meridian;690;0,001584559;
rita;690;0,001584559;
azhar;689;0,001582262;
tempatnya;689;0,001582262;
diusulkan;689;0,001582262;
paya;689;0,001582262;
spring;689;0,001582262;
sindrom;689;0,001582262;
pemancar;689;0,001582262;
labuhanbatu;688;0,001579966;
nina;688;0,001579966;
membuang;688;0,001579966;
watson;688;0,001579966;
vicente;688;0,001579966;
grande;688;0,001579966;
seminari;687;0,001577669;
study;687;0,001577669;
ranting;687;0,001577669;
dimasak;687;0,001577669;
pengelola;687;0,001577669;
proton;687;0,001577669;
bondowoso;687;0,001577669;
jonas;686;0,001575373;
satellite;686;0,001575373;
dick;686;0,001575373;
aragon;686;0,001575373;
nord;685;0,001573077;
xiii;685;0,001573077;
greek;685;0,001573077;
rolling;685;0,001573077;
drums;685;0,001573077;
klinik;685;0,001573077;
marseille;684;0,00157078;
skema;684;0,00157078;
ferry;684;0,00157078;
terkesan;684;0,00157078;
semak;684;0,00157078;
buru;684;0,00157078;
tabloid;684;0,00157078;
kesimpulan;684;0,00157078;
poros;684;0,00157078;
figur;683;0,001568484;
salinan;683;0,001568484;
refrensi;683;0,001568484;
score10;683;0,001568484;
ffi;683;0,001568484;
tercepat;683;0,001568484;
penolakan;683;0,001568484;
menyembuhkan;682;0,001566187;
ost;682;0,001566187;
communications;682;0,001566187;
petir;682;0,001566187;
instalasi;682;0,001566187;
thing;681;0,001563891;
singh;681;0,001563891;
mutlak;681;0,001563891;
mar;681;0,001563891;
sendirian;681;0,001563891;
jeong;681;0,001563891;
parade;681;0,001563891;
ericsson;681;0,001563891;
kebijaksanaan;680;0,001561594;
josh;680;0,001561594;
tayangan;680;0,001561594;
kantong;680;0,001561594;
dirasakan;680;0,001561594;
motors;680;0,001561594;
sahara;679;0,001559298;
hj;679;0,001559298;
fighter;679;0,001559298;
tarbiyah;679;0,001559298;
pecahan;679;0,001559298;
usd;679;0,001559298;
salatiga;679;0,001559298;
wonder;678;0,001557001;
mengejutkan;678;0,001557001;
maeda;678;0,001557001;
partisipasi;678;0,001557001;
buleleng;678;0,001557001;
kairo;678;0,001557001;
pengeluaran;678;0,001557001;
mempertimbangkan;677;0,001554705;
ber;677;0,001554705;
ade;677;0,001554705;
digolongkan;677;0,001554705;
mengantarkan;677;0,001554705;
rm;677;0,001554705;
professor;676;0,001552408;
kandangnya;676;0,001552408;
perorangan;676;0,001552408;
memasang;676;0,001552408;
tel;676;0,001552408;
mangkubumi;676;0,001552408;
piramida;675;0,001550112;
vancouver;675;0,001550112;
uzbekistan;675;0,001550112;
endemik;675;0,001550112;
fungsinya;675;0,001550112;
melekat;674;0,001547815;
selepas;674;0,001547815;
diarahkan;674;0,001547815;
dublin;674;0,001547815;
stand;674;0,001547815;
perempuannya;674;0,001547815;
patroli;674;0,001547815;
male;674;0,001547815;
meneliti;674;0,001547815;
organization;674;0,001547815;
piringan;674;0,001547815;
menilai;673;0,001545519;
sciences;673;0,001545519;
kemunculan;673;0,001545519;
membatalkan;673;0,001545519;
guadalkanal;672;0,001543223;
lada;672;0,001543223;
luksemburg;672;0,001543223;
angels;672;0,001543223;
parit;672;0,001543223;
orbital;672;0,001543223;
dipecat;672;0,001543223;
indie;672;0,001543223;
patih;672;0,001543223;
bir;672;0,001543223;
ami;672;0,001543223;
ground;671;0,001540926;
bala;671;0,001540926;
temuan;671;0,001540926;
hey;671;0,001540926;
dalem;671;0,001540926;
ice;671;0,001540926;
kelanjutan;671;0,001540926;
diplomat;670;0,00153863;
depresi;670;0,00153863;
diperintah;670;0,00153863;
jenewa;670;0,00153863;
future;670;0,00153863;
score12;670;0,00153863;
bercerai;670;0,00153863;
mitsubishi;669;0,001536333;
living;669;0,001536333;
grant;669;0,001536333;
hasyim;669;0,001536333;
dijabat;669;0,001536333;
menyenangkan;669;0,001536333;
pengucapan;669;0,001536333;
lower;669;0,001536333;
mantra;668;0,001534037;
rey;668;0,001534037;
aids;668;0,001534037;
berkelanjutan;668;0,001534037;
yuri;668;0,001534037;
advent;668;0,001534037;
senja;667;0,00153174;
aaron;667;0,00153174;
kapas;667;0,00153174;
kehakiman;667;0,00153174;
toraja;667;0,00153174;
than;667;0,00153174;
mad;666;0,001529444;
diperluas;666;0,001529444;
score11;666;0,001529444;
daily;666;0,001529444;
case;666;0,001529444;
dibuktikan;666;0,001529444;
mischa;666;0,001529444;
batara;666;0,001529444;
orionis;666;0,001529444;
elektronika;665;0,001527147;
karunia;665;0,001527147;
golkar;665;0,001527147;
madagaskar;665;0,001527147;
vertebrata;665;0,001527147;
peradilan;665;0,001527147;
emma;665;0,001527147;
wide;665;0,001527147;
skandal;665;0,001527147;
malu;665;0,001527147;
torino;665;0,001527147;
penyusunan;664;0,001524851;
ngurah;664;0,001524851;
montana;664;0,001524851;
culture;663;0,001522554;
andre;663;0,001522554;
suikoden;663;0,001522554;
geng;663;0,001522554;
fr;663;0,001522554;
milano;663;0,001522554;
demokratis;663;0,001522554;
fukuoka;663;0,001522554;
chung;663;0,001522554;
berlalu;663;0,001522554;
dumbledore;663;0,001522554;
dahsyat;662;0,001520258;
ramadhan;662;0,001520258;
cinema;662;0,001520258;
bhakti;662;0,001520258;
meletus;662;0,001520258;
halim;662;0,001520258;
dirayakan;662;0,001520258;
mccartney;661;0,001517961;
serigala;661;0,001517961;
sentra;661;0,001517961;
tau;661;0,001517961;
kehidupannya;661;0,001517961;
menantang;661;0,001517961;
contemporary;660;0,001515665;
bermukim;660;0,001515665;
mendiami;660;0,001515665;
tekstil;660;0,001515665;
rencananya;660;0,001515665;
sheikh;659;0,001513369;
demo;659;0,001513369;
leiden;659;0,001513369;
mendatang;659;0,001513369;
mengarahkan;658;0,001511072;
betty;658;0,001511072;
another;658;0,001511072;
botani;658;0,001511072;
justice;658;0,001511072;
kemakmuran;658;0,001511072;
sous;658;0,001511072;
flight;658;0,001511072;
stain;658;0,001511072;
minardi;658;0,001511072;
idris;657;0,001508776;
access;657;0,001508776;
gadjah;657;0,001508776;
tumor;657;0,001508776;
iris;657;0,001508776;
pekerjaannya;657;0,001508776;
della;657;0,001508776;
pendaftaran;657;0,001508776;
seumur;657;0,001508776;
ketegangan;656;0,001506479;
fantasi;656;0,001506479;
guardian;656;0,001506479;
sederajat;656;0,001506479;
iron;656;0,001506479;
attack;656;0,001506479;
observatorium;656;0,001506479;
member;656;0,001506479;
nice;656;0,001506479;
niat;656;0,001506479;
movies;656;0,001506479;
ekonom;656;0,001506479;
bb;656;0,001506479;
daring;656;0,001506479;
sahabatnya;655;0,001504183;
lupa;655;0,001504183;
work;655;0,001504183;
istirahat;655;0,001504183;
collins;655;0,001504183;
pertolongan;655;0,001504183;
sq;655;0,001504183;
merapi;655;0,001504183;
gulungan;654;0,001501886;
rrc;654;0,001501886;
early;654;0,001501886;
legal;653;0,00149959;
mengenang;653;0,00149959;
mari;653;0,00149959;
kedutaan;653;0,00149959;
didik;653;0,00149959;
room;652;0,001497293;
jingga;652;0,001497293;
om;652;0,001497293;
ester;652;0,001497293;
teritorial;652;0,001497293;
arif;652;0,001497293;
marcel;652;0,001497293;
dean;652;0,001497293;
mori;652;0,001497293;
keberadaannya;652;0,001497293;
cap;652;0,001497293;
impian;652;0,001497293;
ceritanya;652;0,001497293;
menyelidiki;652;0,001497293;
sv;652;0,001497293;
shogun;652;0,001497293;
penggambaran;652;0,001497293;
sora;651;0,001494997;
armstrong;651;0,001494997;
tabalong;651;0,001494997;
solok;651;0,001494997;
webber;651;0,001494997;
gemeente;651;0,001494997;
pin;651;0,001494997;
fair;650;0,0014927;
wabah;650;0,0014927;
perkusi;650;0,0014927;
sekedar;649;0,001490404;
kemasan;649;0,001490404;
ul;649;0,001490404;
titanic;649;0,001490404;
optimus;649;0,001490404;
kendari;649;0,001490404;
penguasaan;648;0,001488107;
interior;648;0,001488107;
hour;648;0,001488107;
ria;648;0,001488107;
jejaring;648;0,001488107;
lot;648;0,001488107;
opsi;648;0,001488107;
gizi;648;0,001488107;
implementasi;648;0,001488107;
α;647;0,001485811;
kerinci;647;0,001485811;
samar;647;0,001485811;
amazing;647;0,001485811;
baghdad;647;0,001485811;
esa;647;0,001485811;
terganggu;647;0,001485811;
hugo;647;0,001485811;
gaon;647;0,001485811;
busur;647;0,001485811;
mengidentifikasi;647;0,001485811;
melampaui;647;0,001485811;
pementasan;646;0,001483515;
newfoundland;646;0,001483515;
binjai;646;0,001483515;
siapapun;646;0,001483515;
pelaut;646;0,001483515;
fe;646;0,001483515;
luhur;645;0,001481218;
score13;645;0,001481218;
kromosom;645;0,001481218;
mc;645;0,001481218;
eye;645;0,001481218;
desktop;645;0,001481218;
itunes;645;0,001481218;
jorge;644;0,001478922;
sekolahnya;644;0,001478922;
diadaptasi;644;0,001478922;
provence;644;0,001478922;
dilepaskan;643;0,001476625;
vettel;643;0,001476625;
manik;643;0,001476625;
sunday;643;0,001476625;
martapura;643;0,001476625;
pelat;643;0,001476625;
miring;642;0,001474329;
bangku;642;0,001474329;
browser;642;0,001474329;
berhala;642;0,001474329;
chip;642;0,001474329;
olympique;642;0,001474329;
badak;642;0,001474329;
labrador;642;0,001474329;
jujur;641;0,001472032;
kejam;641;0,001472032;
beracun;641;0,001472032;
basketball;641;0,001472032;
bible;641;0,001472032;
muslimin;641;0,001472032;
yun;641;0,001472032;
jajahan;640;0,001469736;
meranti;640;0,001469736;
performa;640;0,001469736;
lawang;640;0,001469736;
komuter;640;0,001469736;
titi;640;0,001469736;
joshua;640;0,001469736;
bidadari;640;0,001469736;
reruntuhan;640;0,001469736;
want;640;0,001469736;
resor;640;0,001469736;
louisiana;640;0,001469736;
menyumbangkan;639;0,001467439;
lez;639;0,001467439;
brand;639;0,001467439;
persija;639;0,001467439;
kj;639;0,001467439;
miles;639;0,001467439;
yudhoyono;639;0,001467439;
holstein;639;0,001467439;
halmahera;639;0,001467439;
pengurangan;639;0,001467439;
bengkalis;639;0,001467439;
brawijaya;638;0,001465143;
lokasinya;638;0,001465143;
pantas;638;0,001465143;
matanya;638;0,001465143;
petenis;638;0,001465143;
darinya;638;0,001465143;
panduan;638;0,001465143;
powiat;638;0,001465143;
amy;638;0,001465143;
kuliner;638;0,001465143;
korintus;637;0,001462846;
panasonic;637;0,001462846;
alm;637;0,001462846;
ang;637;0,001462846;
terpengaruh;637;0,001462846;
haram;636;0,00146055;
kewenangan;636;0,00146055;
discovery;636;0,00146055;
parker;636;0,00146055;
merak;636;0,00146055;
pengujian;636;0,00146055;
nanggroe;636;0,00146055;
keshogunan;636;0,00146055;
komputasi;636;0,00146055;
kelautan;636;0,00146055;
